image_path,label,xmin,ymin,xmax,ymax
1.jp2,candida,3698,2827,3703,2848
1.jp2,candida,2517,2735,2529,2754
1.jp2,candida,3684,2719,3708,2826
1.jp2,candida,2886,2579,2905,2594
1.jp2,candida,3985,2465,4012,2473
1.jp2,candida,4054,2446,4078,2457
1.jp2,candida,2062,2155,2074,2162
1.jp2,candida,3218,2138,3241,2150
1.jp2,candida,309,2051,347,2091
1.jp2,candida,188,2048,247,2099
1.jp2,candida,255,2042,312,2076
1.jp2,candida,148,2040,173,2072
1.jp2,candida,251,2017,279,2044
1.jp2,candida,2515,1729,2529,1736
1.jp2,candida,2241,1727,2330,1814
1.jp2,candida,1011,1688,1030,1712
1.jp2,candida,2538,1686,2560,1716
1.jp2,candida,1016,1684,1085,1742
1.jp2,candida,2550,1679,2567,1693
1.jp2,candida,2458,1595,2541,1688
1.jp2,candida,2526,1582,2539,1602
1.jp2,candida,2445,1573,2484,1617
1.jp2,candida,2535,1561,2556,1580
1.jp2,candida,426,1545,459,1572
1.jp2,candida,1089,1429,1136,1439
1.jp2,candida,1011,1420,1062,1431
1.jp2,candida,1283,1402,1305,1412
1.jp2,candida,1395,1267,1405,1280
1.jp2,candida,1689,1255,1706,1262
1.jp2,candida,1700,1241,1712,1252
1.jp2,candida,1737,1228,1762,1232
1.jp2,candida,1970,1214,2012,1225
1.jp2,candida,1947,1212,1956,1222
1.jp2,candida,1919,1196,1964,1214
1.jp2,candida,1989,1180,2013,1191
1.jp2,candida,2039,1171,2087,1211
1.jp2,candida,3223,1130,3281,1152
1.jp2,candida,1955,1017,1993,1067
1.jp2,candida,3288,930,3309,949
1.jp2,candida,3235,897,3258,904
1.jp2,candida,4327,864,4357,900
1.jp2,candida,4204,781,4351,941
1.jp2,candida,3017,765,3061,809
1.jp2,candida,4574,738,4592,753
1.jp2,candida,4613,694,4638,719
1.jp2,candida,73,447,87,457
1.jp2,candida,3211,419,3258,430
1.jp2,candida,0,419,28,441
1.jp2,candida,950,271,973,283
1.jp2,candida,1025,269,1039,294
1.jp2,candida,1083,265,1094,280
1.jp2,candida,3107,251,3151,279
1.jp2,candida,1045,236,1064,247
1.jp2,candida,1062,223,1074,240
1.jp2,candida,989,220,1033,230
1.jp2,candida,902,208,965,253
1.jp2,candida,1052,203,1059,219
1.jp2,candida,1182,194,1204,252
1.jp2,candida,1134,172,1178,227
1.jp2,candida,1046,155,1088,193
1.jp2,candida,1078,125,1113,153
1.jp2,candida,1094,90,1135,121
10.jp2,candida,3975,3150,4016,3164
10.jp2,candida,4017,3138,4048,3153
10.jp2,candida,4245,2982,4258,2997
10.jp2,candida,3554,2915,3588,2948
10.jp2,candida,4581,2859,4595,2874
10.jp2,candida,4595,2854,4603,2866
10.jp2,candida,4354,2728,4421,2768
10.jp2,candida,3992,2710,4580,3032
10.jp2,candida,4420,2710,4443,2725
10.jp2,candida,4458,2664,4472,2681
10.jp2,candida,4050,2645,4068,2659
10.jp2,candida,4015,2600,4043,2619
10.jp2,candida,4244,2566,4342,2643
10.jp2,candida,4289,2531,4319,2559
10.jp2,candida,2508,2503,2529,2520
10.jp2,candida,3926,2487,4076,2600
10.jp2,candida,2426,2469,2441,2482
10.jp2,candida,2440,2457,2493,2501
10.jp2,candida,2344,2433,2445,2540
10.jp2,candida,2407,2415,2430,2428
10.jp2,candida,2393,2378,2425,2409
10.jp2,candida,2025,2349,2049,2368
10.jp2,candida,2022,2182,2035,2201
10.jp2,candida,2995,2181,3039,2210
10.jp2,candida,4200,2140,4227,2169
10.jp2,candida,2974,2134,2993,2153
10.jp2,candida,4169,2126,4194,2146
10.jp2,candida,3648,2125,3738,2175
10.jp2,candida,2771,2119,2821,2162
10.jp2,candida,2980,2094,2988,2110
10.jp2,candida,2058,2092,2067,2105
10.jp2,candida,3111,2088,3121,2099
10.jp2,candida,3046,2069,3073,2095
10.jp2,candida,3108,2062,3126,2087
10.jp2,candida,4190,2049,4291,2147
10.jp2,candida,4313,2046,4330,2062
10.jp2,candida,3007,2014,3038,2048
10.jp2,candida,2191,2014,2201,2025
10.jp2,candida,2455,2005,2699,2175
10.jp2,candida,4220,2004,4288,2066
10.jp2,candida,2670,2002,2726,2069
10.jp2,candida,2911,1995,2994,2182
10.jp2,candida,2044,1995,2224,2205
10.jp2,candida,4225,1987,4235,2002
10.jp2,candida,3911,1965,3921,1977
10.jp2,candida,3217,1961,3227,1970
10.jp2,candida,3105,1958,3134,1988
10.jp2,candida,3195,1957,3219,1978
10.jp2,candida,3158,1946,3308,2080
10.jp2,candida,4033,1945,4046,1957
10.jp2,candida,3170,1928,3181,1947
10.jp2,candida,2267,1924,2320,1977
10.jp2,candida,3856,1922,3894,1956
10.jp2,candida,3801,1922,3845,1946
10.jp2,candida,4405,1920,4427,1933
10.jp2,candida,2897,1920,2916,1942
10.jp2,candida,3776,1907,3791,1917
10.jp2,candida,3258,1907,3282,1930
10.jp2,candida,3035,1892,3078,1915
10.jp2,candida,2322,1890,2346,1905
10.jp2,candida,3240,1884,3253,1907
10.jp2,candida,3211,1877,3222,1894
10.jp2,candida,3221,1866,3233,1880
10.jp2,candida,3098,1855,3214,1929
10.jp2,candida,3761,1846,3801,1903
10.jp2,candida,1962,1845,1985,1875
10.jp2,candida,3131,1842,3145,1870
10.jp2,candida,2107,1780,2151,1819
10.jp2,candida,3207,1756,3219,1767
10.jp2,candida,2725,1743,2735,1759
10.jp2,candida,2625,1698,2660,1726
10.jp2,candida,3187,1694,3310,1869
10.jp2,candida,2539,1665,2577,1714
10.jp2,candida,2494,1656,2511,1668
10.jp2,candida,4115,1613,4190,1681
10.jp2,candida,3101,1590,3136,1602
10.jp2,candida,1947,1588,2117,1789
10.jp2,candida,3137,1584,3157,1591
10.jp2,candida,4132,1566,4169,1599
10.jp2,candida,1753,1565,1791,1608
10.jp2,candida,2588,1555,2603,1579
10.jp2,candida,2541,1491,2552,1502
10.jp2,candida,2157,1485,2766,2005
10.jp2,candida,2065,1477,2075,1499
10.jp2,candida,3001,1474,3040,1514
10.jp2,candida,3374,1470,3392,1484
10.jp2,candida,4635,1468,4650,1480
10.jp2,candida,1752,1460,1764,1475
10.jp2,candida,3094,1458,3107,1469
10.jp2,candida,3108,1457,3125,1467
10.jp2,candida,1674,1454,1697,1497
10.jp2,candida,2069,1432,2170,1507
10.jp2,candida,3078,1425,3092,1432
10.jp2,candida,3275,1424,3337,1465
10.jp2,candida,1772,1393,2019,1620
10.jp2,candida,4453,1369,4471,1388
10.jp2,candida,3441,1367,3544,1460
10.jp2,candida,3087,1359,3104,1376
10.jp2,candida,3287,1267,3308,1288
10.jp2,candida,4053,1240,4072,1255
10.jp2,candida,1548,1235,1562,1250
10.jp2,candida,1231,1228,1257,1241
10.jp2,candida,3569,1225,3589,1245
10.jp2,candida,4058,1221,4075,1236
10.jp2,candida,2786,1221,2803,1243
10.jp2,candida,3523,1214,3551,1229
10.jp2,candida,3555,1209,3566,1223
10.jp2,candida,1791,1193,1835,1275
10.jp2,candida,3349,1178,3370,1200
10.jp2,candida,3396,1168,3408,1177
10.jp2,candida,1923,1156,1936,1178
10.jp2,candida,1272,1136,1565,1414
10.jp2,candida,3864,1128,3942,1183
10.jp2,candida,2070,1120,2089,1148
10.jp2,candida,2089,1114,2111,1136
10.jp2,candida,3572,1096,3653,1192
10.jp2,candida,2486,1074,2533,1116
10.jp2,candida,1913,1072,1952,1105
10.jp2,candida,1947,1060,1961,1073
10.jp2,candida,3770,1049,3829,1118
10.jp2,candida,2518,1046,2554,1071
10.jp2,candida,2563,1022,2622,1062
10.jp2,candida,2820,991,2846,1022
10.jp2,candida,1666,989,1698,1021
10.jp2,candida,2795,981,2813,997
10.jp2,candida,2559,977,2574,986
10.jp2,candida,2581,947,3490,1662
10.jp2,candida,1719,917,1762,964
10.jp2,candida,3721,914,3734,928
10.jp2,candida,2378,900,2403,928
10.jp2,candida,3676,896,3694,911
10.jp2,candida,2272,870,2283,881
10.jp2,candida,2327,861,2336,873
10.jp2,candida,1835,856,1848,869
10.jp2,candida,1689,849,1735,902
10.jp2,candida,1761,848,1822,880
10.jp2,candida,4132,833,4145,846
10.jp2,candida,4089,829,4117,839
10.jp2,candida,4122,802,4190,858
10.jp2,candida,4174,707,4194,748
10.jp2,candida,4211,683,4299,728
10.jp2,candida,1713,668,1854,849
10.jp2,candida,1531,668,1545,683
10.jp2,candida,1488,653,1527,716
10.jp2,candida,1095,588,1109,600
10.jp2,candida,1110,555,1121,565
10.jp2,candida,2528,526,2543,543
10.jp2,candida,1095,525,1106,537
10.jp2,candida,3455,507,3521,601
10.jp2,candida,3398,472,3411,483
10.jp2,candida,955,470,1103,609
10.jp2,candida,2520,464,2570,503
10.jp2,candida,2874,451,2892,471
10.jp2,candida,2671,436,2928,623
10.jp2,candida,1821,331,3355,1229
10.jp2,candida,1007,258,1022,278
10.jp2,candida,2953,254,2990,357
10.jp2,candida,3037,247,3047,277
10.jp2,candida,1024,237,1034,250
10.jp2,candida,3142,222,3153,231
10.jp2,candida,3117,216,3124,229
10.jp2,candida,3014,207,3057,240
10.jp2,candida,3101,206,3112,218
